user,tweets
trendinaliaID,"1 . #Kam18angga
2 . SAIPUL JAMIL INBOX CILEDUG
3 . #PapaMintaKalpanax
4 . #HBDNowela
5 . #SaveGojek

2015 /12 /19 05 :53 WIB"
Mr_abdoell,Kita lebih menghormati orang miskin yang   #SaveGojek
TIMES_indonesia,"Jalankan Tugas , Menhub Tak Salah Melarang Ojek  #BeritaJakarta #OjekOnline #GojekDilarang #SaveGojek ^VAF"
AzmiPraditya,"Untuk apa bertarung kalau sama profesi , harus bisa berbaur dan buatlah saling menguntungkan . #SaveGojek"
JakartaCenter,"#19Desember2015

""Launching Asian Games 2018 Siap Digelar di Jakarta ""

#SaveGojek"
resepmasakan10,selamatkan dan dukung terus gojek #SaveGojek
adiabidal,#SaveGojek Masa depan yang cerah berdasarkan pada masa lalu yang telah dilupakan . Kamu tidak dapat melangkah denga #NOMOR1 <c2><b7>com #abyz7745
huddasyfl,awet bener dah TTI yg satu ini #SaveGojek
IDTrenders,"1 . #Kam18angga
2 . SAIPUL JAMIL INBOX CILEDUG
3 . #PapaMintaKalpanax
4 . #HBDNowela
5 . #SaveGojek

2015 /12 /19 05 :34 W <e2><80><a6>"
dewah073,Baru aja mau gabung ...malah jd ga pasti kelanjutannya #savegojek
londonbet88,"LONDONPOKER77 : Toni Kroos mulai tidak betah di Real Madrid 
#Kam18angga
#HBDNowela
#SaveGojek
#2015In5Words"
londonbet88,"LONDONPOKER77 : Guus Hiddink menjadi kandidat pelatih terbaru Chel ... 
#Kam18angga
#HBDNowela
#SaveGojek
#2015In5Words"
londonbet88,"LONDONPOKER77 : Carlo Ancelotti Akan melatih Bayern Munich musim d ... 
#Kam18angga
#HBDNowela
#SaveGojek
#2015In5Words"
laluna30,"Peluang jd Agen ,Reseler Air Kesehatan Milagros 
PIN 55078750
WA /SMS 085234566788
@jubelmalang
@info_reseller
@visit_malangid
#SaveGojek"
NovaTeamVinny48,"#SaveGojek Real ! Sodara gw dlu susah bgt , mkan ja susah , tp skrg udh sjahtera stlh kerja gojek .Apa yg bs dlakuin pemerintah sma org kya qt ?"
elsanhanafia3,Ekonomi kerakyatan is THE BEST .... Go .... Go .... Jek . #SaveGojek
ika_nofiati,Lets vote for indonesia #SaveGojek #MissUniverse
andrepaula3,"#SaveGojek Jangan hanya menghindari yang tidak mungkin . Dengan mencoba sesuatu yang tidak mungkin ,kita akan bisa  #TIADA2 <c2><b7>com #nikeu9942"
abdulrouff,"Sebagai pemakai gojek saya tidak setuju , knp dilarang pak ? Apa krna angkot jadi sepi ? Trus gaji situ jd sepi jg ? #SaveGojek"
tohirindava,Mas Jonan pengin tenar doang .atau cuma pengalihan isu Novanto ? #SaveGojek
vandyjp,"Hanya orang takut yang bisa berani , karena keberanian adalah mela  #SaveGojek"
TTI_Terbaru,"""Trending Indonesia 05 :31 AM WIT ""
1 . #Kam18angga
2 . SAIPUL JAMIL INBOX CILEDUG
3 . #PapaMintaKalpanax
4 . #HBDNowela
5 . #SaveGojek"
joeisack,disinilah ...keluar nya sang pahlawan disiang bolong ..wakaka ..dah kebaca pencitraan abisss ..dikarenakan citra yg sudah mulai pudar #SaveGojek
FerenFraganzha,GoJek sgt sgt membantu kami semua ! #SaveGojek lahh !
izzibiz,Bukan pertumbuhan yang lambat yang harus Anda takuti . Anda harus leb  #SaveGojek
RaijeLpatah,Yang bisa nganterin k tempat kerja hujan * gni cuma dia #SaveGojek
Muhajir031403,Seseorang yang menolak memperbarui cara -carakerjanya yang   #SaveGojek
followpaput,salah satu pengurang dari pengangguran adalah gojek #savegojek
JakartaCenter,"#19Desember2015

""Jakarta Masuk Daftar Kota yang Industri Propertinya Terpesat ""

#SaveGojek"
JakartaCenter,"#19Desember2015

""Etude perbanyak toko di luar Jakarta tahun depan ""

#SaveGojek"
zi_ant,"Main larang aj ,tnpa ksh waktu . Udah gtu tdk lapor dlu sma presiden lgi ,presiden psti ga stuju krena merugikan driver & pengguna . #SaveGojek"
RatihWoi,"Diatur aja , knp dilarang ? Emang merugikan masyarakat ? #SaveGojek"
JakartaCenter,"#19Desember2015

""Ahok Puji Ketua Baru KPK ""

#SaveGojek"
zi_ant,"Klo sja presidenya ahok ,menhub Jonan pasti dilabrak . Main larang "" aja tanpa mikirin rakyat . #SaveGojek"
yunimoers,Dia yang menolak memperbarui cara -cara kerj  #SaveGojek
fajar_81,#SaveGojek Jangan sekali -kali kita meremehkan sesuatu perbuatan baik walaupun hanya sekadar senyuman . #TIADA2 <c2><b7>com #fajhe8216
buzz_zul,Orang -orang yang berhenti belajar akan menjadi pemilik mas  #SaveGojek
TTI_Terbaru,"""Trending Indonesia 05 :01 AM WIT ""
1 . #Kam18angga
2 . #PapaMintaKalpanax
3 . #HBDNowela
4 . #SaveGojek
5 . #2015In5Words
6 . Jonan
7 . Star Wars"
aktualberita,: Tagar #SaveGojek Jadi Trending To Kemenhub Cabut Larangan Beroperasinya Go -Jek dkk : Larangan pengoperasi ...
coklatdurian,"Hanya orang takut yang bisa berani , karena keberanian a  #SaveGojek"
AfryansyahTse,"Ke bandara soeta tangerang , naik gojek lbh murah #SaveGojek"
Danaduuun,Apa mau pemerintah nafkahin ratusan ribu keluarga driver bila ojek online di bubarkan ? #SaveGojek
lennyrizal1,Hidup memerlukan pengorbananan . Pengorbanan memerlukan perjuang  #SaveGojek
AkhoRi81,@gojekindonesia gue mah dukung Go -Jek asal tarif diturunin  #SaveGojek
morentzID,#SaveGojek Anda hanya dekat dengan mereka yang anda sukai . Dan seringkali anda menghindari orang yang tidak tidak a #TIADA2 <c2><b7>com #mga4374
nunuk_wiji,"Apakah Anda sedang menunggu pekerjaan yang lebih baik , se  #SaveGojek"
richardgowes,"#SaveGojek Jangan menolak perubahan hanya karena anda takut kehilangan yang telah dimiliki , karena dengannya anda  #TIADA2 <c2><b7>com #ricm1472"
al_qossam07,Hayoh siapa yang pilih jokowi pas pemilu kemaren ? Rakyat kecil ga d peduliin lagi #SaveGojek
Aulia_Rahma2701,Kenapa harus dilarang ?toh mereka nyari duitnya halal kok gk korupsi *ehh #SaveGojek
isnanh91,"Bila kita mencari uang , kita akan dipaksa mengupa  #SaveGojek"
TTI_Terbaru,"""Trending Indonesia 04 :32 AM WIT ""
1 . #Kam18angga
2 . #PapaMintaKalpanax
3 . #HBDNowela
4 . RJ Lino Tersangka
5 . #SaveGojek
6 . #2015In5Words"
trendinaliaID,"1 . #Kam18angga
2 . #PapaMintaKalpanax
3 . #HBDNowela
4 . RJ Lino Tersangka
5 . #SaveGojek

2015 /12 /19 04 :39 WIB #trndnl"
rezijaya,Orang indonesia yg begitu aneh ... Mestinya yg dilarang itu DPR yg suapsuapan ya atau anggota DPR yg suka main ke dunia gelap #SaveGojek
rezijaya,Belum ngerasain dianter sama gojek udah dilarang aja #SaveGojek
irfakdarojat,Anda tidak akan bisa menghindari keharusan untuk meniru . Maka  #SaveGojek
Lia_Adelia25,@angelo_mikha haha :D ditungguin dari tadi akhirnya nge -tweet juga :D #SaveGojek
trendinaliaID,"6 . #SaveGojek
7 . Jonan
8 . Star Wars
9 . Go -Jek
10 . DA ASIA WITH PAPI IPUL

2015 /12 /19 04 :13 WIB #trndnl"
solusi_jitu,#SaveGojek Tinggalkanlah kesenangan yang menghalangi pencapaian kecemerlangan hidup yang di idamkan . Dan berhati - #TIADA2 <c2><b7>com #chaira910
W73Rw,"Wanita yang cantik tanpa peribadi yang mulia ,umpama kaca mata yang b  #SaveGojek"
TTI_Terbaru,"""Trending Indonesia 04 :02 AM WIT ""
6 . Kylo Ren
7 . #SaveGojek
8 . Jonan
9 . Star Wars
10 . Go -Jek"
Gusifulb,"Perubahan tidak menjamin tercapainya perbaikan , tetapi tidak ad  #SaveGojek"
BanMotorKenda,Bila kita belum menemkan pekerjaan yang sesuai dengan bakat kita  #SaveGojek
trendinaliaID,"6 . Kylo Ren
7 . #SaveGojek
8 . Jonan
9 . Star Wars
10 . Go -Jek

2015 /12 /19 03 :53 WIB #trndnl"
Adelajnt,"#SaveGojek gojek jgn dihilangkan , harusnya yg dihilangkan korupsi !!"
Adelajnt,Dia nyari uang halal lo ga korupsi *ehh #SaveGojek
Adelajnt,God bleesed you #SaveGojek
coklatdurian,Kekuatan terbesar yang mampu mengalahkan stress adalah kemampuan   #SaveGojek
Jhprtw,"Promo Akhir Tahun 50k Followers Hanya 150rb *Bisa Nego , Buruan Stok Trbatas Info Lebih Lanjut 53894EB1 [#SaveGojek ]"
MudimahMudi,Seseorang yang menolak memperbarui cara -cara kerjanya yang tid  #SaveGojek
aswinyamani,Apakah Anda sedang menunggu pekerjaan yang   #SaveGojek
Adelajnt,Jangan pandang gojek sebelah mata #SaveGojek
afifghaffar,"WTS Tas Vintage Murah , Info :   [#SaveGojek ]"
TTI_Terbaru,"Discover more about trend ""#SaveGojek "" at :"
TTI_Terbaru,"""#SaveGojek "" shows up as trending to in Indonesia at rank 7 ."
fortfs_id,Free modal trading $30 dan Bonus deposit hingga 50 %  [#SaveGojek ]
trendinaliaID,"6 . Kylo Ren
7 . #SaveGojek
8 . Star Wars
9 . Go -Jek
10 . DA ASIA WITH PAPI IPUL

2015 /12 /19 03 :33 WIB #trndnl"
aminsodik,"Waktu kamu lahir , kamu menangis dan orang -orang   #SaveGojek"
abuadiba1,"#SaveGojek Jangan menolak perubahan hanya karena kita takut kehilangan yang telah dimiliki , karena dengannya kita #TIADA2 <c2><b7>com #gunaa7186"
poocongs,"Apabila cinta tidak berhasil , BEBASKAN dirimu Biarkan hatimu kembali melebarkan sayapnya dan terbang ke alam bebas #SaveGojek"
lynkfeed,Bila Anda belum menemukan pekerjaan yang sesuai de  #SaveGojek
aan_sra,Seseorang yang menolak memperbarui cara -cara kerj  #SaveGojek
SNAIL_Helmet,"#SaveGojek Jangan hanya menghindari yang tidak mungkin . Dengan mencoba sesuatu yang tidak mungkin ,kita akan bisa  #TIADA2 <c2><b7>com #erinu6550"
ssp_hutomo,Perjalanan seribu batu bermula dari sat  #SaveGojek
miragestar7,En <c4><b0>yi Par <c3><a7>alar - Serkan Y <c4><b1>ld <c4><b1>z :  #BeyazShow #2015In5Words #welcomegot7tothailand #SaveGojek #StarWarsTheForceAwakens
sekaleee,Anda hanya dekat dengan mereka yang anda sukai . Dan seringk  #SaveGojek
zuraidbima,"Hanya orang takut yang bisa berani , karena keberanian ad  #SaveGojek"
isnanh91,Jangan sekali -kali kita meremehkan sesuatu perbuatan baik  #SaveGojek
soekomardiko1,"#SaveGojek Ketepatan sikap adalah dasar semua ketepatan . Tidak ada penghalang keberhasilan bila sikap kita tepat , #TIADA2 <c2><b7>com #soekm8742"
bloomLtech,I used Gokek last time in Bali . My first taxi to the massage was 200000idr . Using Gokek 10000 ! #SaveGojek !
sugengwawa,#SaveGojek Kita lebih menghormati orang miskin yang berani daripada orang kaya yang penakut . Karena sebetulnya te #TIADA2 <c2><b7>com #sugenp816
mohdandreerafli,#savegojek salah satu kesalahan ente sbg pemimpin dlm memilih pembantu | Pemimpin yg suka pencitraan dpt pembantu yg suka jg pencitraan psti
mohdandreerafli,#SaveFreeport salah satu hal yg pnting ditangani ketimbang #PapaDoyanLonte | jg #savegojek yg dpt mnjga ekonomi kecil utk ttp bs bergerak .
mohdandreerafli,Apakh krn itu ente ngundang pelawak2 dinner ? spya dpt blajar buat dagelan yg lbih lucu lg ? #savegojek #PapaDoyanLonte
Sandy92Aries,Tugas kita bukanlah untuk berhasil . Tugas kita adalah untuk   #SaveGojek
MasHerman8,"Perubahan tidak menjamin tercapainya perbaikan , tetapi tidak ad  #SaveGojek"
carpoyy,malem om jokowi #savegojek
prasetyawan83,Saya jga menikmati gojek ..good job untk smua #SaveGojek
Berkat29,"Jangan tertarik kepada seseorang karena parasnya , sebab keelokan   #SaveGojek"
zain1902,kita tidak akan berhasil menjadi pribadi baru bila kita berkeras  #SaveGojek
mohdandreerafli,"Keputusan pelarang operasi gojek , terlihat kurang dlmnya analisa menhub dlm pengambilan keputusan #savegojek cc @IgnasiusJonan"
mohdandreerafli,Semua itu memperlihatkn pemimpin dan para pembantunya jauh dr kata2 kecakapan dlm memimpin ... #savegojek #PapaDoyanLonte
La_Risa87,CEO Go -Jek Nadiem Ucapkan Terima Kasih Atas Dukungan #saveGoJek : CEO Go -Jek Indonesia Nadiem Makarim menyampai ..
mohdandreerafli,Hari ini ada 2 pemberitaan #savegojek & #PapaDoyanLonte yg buat sy berfikir negeri ini penuh sinetron2 yg ga penting ...
renny_hermawan,"#SaveGojek Dukung Ojek Online Berkibar di Twitter <c2><a0>: Jum <e2><80><99>at , 18 Desember 2015 | 20 :33 WIB <e2><80><a6>"
f_r_n17,"Gojek msh blh beroperasi :D (y ) thanks pak Jokowi . Ga ad Go -Jek Sepi , Pengangurn , Begal bs Beroperasi lg .. #SaveGojek #GoRakyat"
rusdiudhi,Mentrinya mencla mencle #SaveGojek
sekarismesoe,Negara sedang jadi bahan bercandaan menteri . Separah itukah kepemimpinannya ?? Ah entahlah . #GoRakyat #SaveGojek
BUDI_PERMADI26,kisah ini akan menjadi kesempatan buat media yang sedang kampanye .... #saveGojek
leoisman,#SaveGojek Salah satu pengkerdilan terkejam dalam hidup adalah membiarkan pikiran yang cemerlang menjadi budak ba #NOMOR1 <c2><b7>com #suprto437
SiswantoEko2,#SaveGojek Ok say
masalex76,Anda tidak akan bisa menghindari keharusan untuk meniru . M  #SaveGojek
misbahuzz4ini_,Karepe yaopo gojek di larang ???...onok2 ae ... #SaveGojek
ipangmotekar,"Gojek a / penyelamat sy ketika pulang malam dr t4 krj
#GoRakyat #SaveGojek"
Info_Cinere,#SaveGojek Dukung Ojek Online Berkibar di Twitter - Tempo
mega_pratiwi30,CUMA DOI YG ADA BUAT ANTER -JEMPUT PARA KAUM TUNA ASMARA :(( #SaveGojek #SaveJomblo #CAPSLOCKJEBOLDIPINJEMSETYANOVANTO #HajiLulung
MariyoFaisal,"Harus ada peraturan pemerintah atau semacamnya yg bisa dijadikan payung hukum untuk gojek , atau polri membuat standar regulasi #SaveGojek"
AlvinTitaley,"Pak @jokowi kapan indonesia bisa maju dan angka pengangguran bisa berkurang , kalau orang yang anda pilih ngak bisa merakyat #SaveGojek"
sutiknyosuwoko,Menurut sy sama2 kasihan jk ada salah 1 yg di prioritaskan . Sama2 pekerja - sama2 tukang ojek - sama2 cari nafkah #SaveGojek #SaveTukangOjek
MariyoFaisal,"Ingat dalam UU , Kendaraan beroda 2 bukanlah angkutan publik , namun masarakat membutuhkan . Jadi jangan saling menyalahkan #SaveGojek"
kataStandUp,"Nyesek moment itu disaat lo bener "" sayang sama seseorang tapi seseorang itu gak pernah ""nganggep "" perjuangan lo  #SaveGojek #GoRakyat"
MariyoFaisal,"Persoalan gojek tak ada yg slah dan bnar , dalm UU tak ada payung hukumnya makanya pak jonan bertidak ,namun masarakat membutuhkan #SaveGojek"
sutiknyosuwoko,Ada yg #SaveGojek adapula yg #SaveTukangOjek tapi kalau saya mending #SaveDuit :))
Simamora17_,"Curhat aneh ..
#SaveGojek"
raisinji,#SaveGojek  Pak jangan hilangin gojek donk demi masyarakat
MariyoFaisal,"Tindakan pak jonan udah benar , beliau berjalan dalam jalur tugasnya secara baik . Namun untuk gojek pak jokowi bertindak cerdas #SaveGojek"
ariefwick,HP dibajak dirjen ya pak ...?  #savegojek [ <e2><80><94>
Lsm_Forsmaci,@jokowi mendukung apa pencitraan ?. @kemenhub151 Bikin Malu Indonesia aja . #SaveGojek #PapaMintaGojek
fathonie_ab,@jokowi @IgnasiusJonan bikin malu Indonesia aja . Ada pahlawan kesiangan .#PapaMintaGojek #SaveGojek
IndosiarID,"Solusi Go -Jek , Jonan Usulkan Revisi UU LLAJ .
Klik  #SaveGojek via @liputan6dotcom"
marthaprihadi,"Dijemput , jarak 25kilo 15rb ...#SaveGojek #GoRakyat"
sahrinnugroho,"Jika kamu diberi kekuasaan untuk membuat hukum , hukum apa itu ? <e2><80><94> #savegojek #savegrabbike #saveuber"
van_gey03du032o,@SINDOnews @gojekindonesia mau bubarin gojek ? mau nambah ratusan ribu pengangguran di indonesia donk ! #SaveGojek
nandahidayat3,Yang nyari rezeki halal lu larang ...hargain dong kreativitas anak bangsa #SaveGojek
_fnuraini,"Bentar , ojek online kan tdnya dilarang menhub , tp setelah itu kan diperbolehkan lg oleh presiden . Trus ini dilarang lg gitu ?! #SaveGojek"
sayaituheri,Go go go gojek go #SaveGojek
LeonardoRenaldy,"Gojek udh jd bagian dr kebutuhan gw .mari mikir selangkah lbh maju ,manfaatin teknologi , jafikan indonesia lbh baik . #SaveGojek #bukanpromosi"
poocongs,Pekerja besar dilakukan oleh orang yang tidak takut untuk menjadi hebat #SaveGojek
alaikaabdul,Drama satu babak antara si Bapak dan #SaveGojek ternyata hanya 1 /2 seri ya @LangitAmaravati ? Hihi .
ditaditaaide,"Gojek , plis jangan tinggalin aku . Aku butuh kamu , kamu selalu ada buat aku . :( #SaveGojek"
andunlarasati,"sayang banget gojek udah dilarang , padahal membuka lapangan kerja banyak orang . parah emang . #SaveGojek"
Wardhy_liela,Untuk itu #SaveGojek perlu diluruskan sebgaimana Hukum Positif di negeri ini benar2 diluruskan mengingat lahan pkerjaan yg mash minim .
RSaputra45,Semoga ga ada unsur politik didalam penghapusan izin Gojek . .  #SaveGojek
Wardhy_liela,"Hukum itu ada hukum trtulis (UU ) Hukum tdak tertulis (brdasar kebiasaan ), maka #SaveGojek yg didukung pemerintah it sdh lbh dri kbiasaan ."
mataelang93,"Pelarangan tranport OL hanyalah penyesuaian bisnis saja ,#SaveGojek ,itu tugas pemerintah sebab itu trmsuk industri kreatif bukan ???"
HijriaUsun1,Jangan menolak perubahan hanya karena k  #SaveGojek
Dick_Dwinayanta,"#SaveGojek Waktu ,mengubah semua hal , kecuali kita . Kita mungkin menua dengan berjalanannya waktu , tetapi belum t #TIADA2 <c2><b7>com #dikddw579"
awenk_safarazi,Ini beneran terjadi ?dilarang kemudian larangan dicabut ? #SaveGojek
lukis_darto,Kekuatan terbesar yang mengalahkan stres adalah kemampua  #SaveGojek
Dewi88_L,CEO Go -Jek Nadiem Ucapkan Terima Kasih Atas Dukungan #saveGoJek : CEO Go -Jek Indonesia Nadiem Makarim menyampai ..
GOFoxcom,#SaveGojek Dukung Ojek Online Berkibar di Twitter - Tempo
mainemisrin,"""I count on you "" but I will not give you the power /slash / legitimacy based on law . So , I just need you for a while . #saveGojek"
detik_jie,Tagar #SaveGojek Jadi Trending To Go -Jek Tetap Beroperasi  Sumber :
triezAngel93,"Inovasi anak bangsa lgi di persusah
#savegojek"
zivarazalea15,I liked a @YouTube video  Presiden Jokowi Angkat Bicara #SaveGojek Sukses
Marhen84614070,#SaveGojek Kekuatan terbesar yang mampu mengalahkan stress adalah kemampuan memilih pikiran yang tepat . kita aka #TIADA2 <c2><b7>com #marhhen774
303cyber,"GUUS HIDDINK KONFIRMASI SOAL CHELSEA

#KaiaAnakMentengSCTV #VideoKlipPacarIstimewa #SaveGojek"
cstefanie_,"Just got home after long day at work . Came home this late , I just can 't imagine my life without Gojek /GrabBike . #savegojek #gorakyat"
suselobint,"Tukang Ojek gak dilarang tukang Gojek dilarang . Beda letak spasi beda aturan
Selamat datang di negeri penuh larangan minim solusi #SaveGojek"
SINDOnews,Tagar #SaveGojek Jadi Trending To Go -Jek Tetap Beroperasi
188_maxbet,"Agen Poker Online Indonesia Resmi dan Terpercaya

#SaveGojek
#PRILLYatHitamPutihT7"
UjangCikacef,#SaveGojek Orang -orang yang berhenti belajar akan menjadi pemilik masa lalu . Orang -orang yang masih terus belaja #TIADA2 <c2><b7>com #ujangroc88
DitaTjantiek,"Gojek adalah jemputan cadangan , kalau lagi bertengkar sama pasangan . #SaveGojek"
gitawekads,Tul bener . Ku setujuhhh #savegojek #savegrabbike [ <e2><80><94>
keketketthy,"Hidup GOJEK , maju terussss #SaveGojek"
jemmy_hariyanto,gojek bubar pengangguran bertambah ... hmmm ... piye toh ??? opo ora dipikir disek ??? #SaveGojek
rohmaviolled,#SaveGojek padahal ketolong banget ma gojek ...
AremaMeme,"nggawe gojek :v cek gak sia "" ono #SaveGojek"
maoeloel,Jonan Seperti Soeharto !!   #PecatMenteriGaptek #SaveGojek @jokowi @kurawa @pramonoanung @TetenMasduki
Marhen84614070,"#SaveGojek Semakin banyak yang Anda inginkan , akan semakin banyak yang hanya tinggal jadi keinginan . Fokus pada  #TIADA2 <c2><b7>com #marhhen774"
Saktyant,@metro_tv betuuuul setuju #SaveGojek
Saktyant,#SaveGojek apa yang salah  dg go jek ?
Nur_FurDich,"Terima kasih Pak Presiden ojek online bisa beroperasi lagi ,jika dilarang maka pengangguran akan bertambah byk #SaveGojek"
tempodotco,#SaveGojek Dukung Ojek Online Berkibar di Twitter <c2><a0>
erisastra_69,"#SaveGojek Bila Anda belum menemukan pekerjaan yang sesuai dengan bakat Anda , bakatilah apapun pekerjaan Anda Sek #TIADA2 <c2><b7>com #eriwij565"
BepeAgus,Klu gw ttp gojek donkk #SaveGojek
MTMA_JAMBI,"RT => Dinni S @dinni_s : Tau banget kan lo , gw salah satu pelanggan setianya <ef><98><98><ef><98><98><ef><98><98> RT @nadinelist : #savegojek ."
presidentweter,"#SaveGojek Moda transfortasi alternatif saat ini . Managemennya bagus ,cepat ,pengenderanya disiplin dan termonitor ."
khalifaaqueena,"""@sarseh : #saveGojek (and other online ojek & taxi services ) seriously !!! my <e2><80><a6>"
HalalMedan,Bayar Gojek Cuma 10ribu #SaveGojek  #meme #lucu
omegacom001,"Thank pak jokowi , telah selamatkan gojek , dan mitra "" nya . . .
#GoRakyat #SaveGojek #projo"
dinni_s,"Tau banget kan lo , gw salah satu pelanggan setianya  RT @nadinelist : #savegojek ."
mirayatlas,65000 kilometre dile kolay #CHP #ChristmasJumperDay #ALDUBTheSearch #StarWars #DilwaleDay #SaveGojek #2015In5Words
widi_oke2001,dibikin gaduh dulu ...biar bisa jadi pahlawan penyelamat .. #PapaSaveGojek #SaveGojek #GoRakyat #JumatBerkah
dadangzharvaa,"I 'm gojeker 's pak jonan ..kalau anda mw melarang GOJEK anda harus menyiapkan solusi lapangan pekerjaan yang banyak ..
 #SaveGojek #GoRakyat"
tittin123,Iyah malah gojek d larang nrsnya bersyukur ada lahan pekerjaan buat orng yg ga kerja #SaveGojek
RickyTaw,"#SaveGojek btw gua sering pulang kemaleman kalau lagi hangout atau pun pulang dr tempat kerja , dan jasa gojek ini sangat membantu sekali ."
fania_surya,"Syukurlah penghentian itu dibatalkan , jd bsk tetep dong ngegojek online #savegojek"
firdaus_ajeng,"Tuh pak mentri jonan .. baca tuh .. jangan asal di hapuskan , kasih solusi !  #SaveGojek"
Iisscute,"Tunggu tanggal tayangnya ni , @gojekindonesia korban pencitraan  ! #SaveGojek #PapaMintaGojek"
monceokta,"Yolo pak menteri , gimana nasib saya sbg penerus bangsa kalo gak ada ojek onlen :( #savegojek"
NengGeulis_18,"Gojek Dilarang , @jokowi : Aturan Jangan Bikin Rakyat Susah #SaveGojek"
JordyPradanaa,Adanya @gojekindonesia sudah sedikit mengurangi angka pengangguran .Masa mau dicabut ijinnya ?terus apa mereka mau nganggur dirumah ?#SaveGojek
BenLim3872,#SaveGojek I support the man -in -the -street
mysomethingshop,"Tote Bag 4 Rp125 .000 .hanya di Shopee !  #ShopeeID @iklansupplier @BandungIKLAN
#SaveGojek"
zetdevan12,"Susah ya di indonesia ini ,ada orang baik yg membantu transportasi ,eh malah dilarang #SaveGojek"
Hoga_Smjtk,"Gojek .. Oh .. gojek
Nafasmu tersendak aturan
Belum saatnya !! #SaveGojek"
babyfitria,"Terimakasih banyak Pak @jokowi udah menyelamatkan Gojek . Hidup kami jauh jd lebih mudah berkat gojek , jgn dihilangkan #GoRakyat #SaveGojek"
hildaherman,Jonan ... jonan .. mending fokus pelajari wilayah udara deh drpd masalahin ojek &taxi online @kemenhub151 #jonan #SaveGojek #SaveGojek #uber
babyfitria,Inovasi anak bangsa untuk kepentingan umum kok malah dilarang .. apalah yg ada dipikira  mereka itu ..ckckck #GoRakyat #SaveGojek
tinus_ozhik,Menuju pribadi mandiri #enterpreneur #SaveGojek #
isiCOKLAT,"Saran Ahok Soal Taksi Berbasis Aplikasi  via @metro_tv Ahhhh , tapi teteppp #SAVEGOJEK syedih deh :("
malesbanget,"Ojek Online Berhasil Diselamatkan Berkat Tweet Jokowi , #SaveGojek , dan Petisi Netizen"
hestyrochmah,"Buat para pekerja gojek dsb ttp smngat , bnyk yg dukung kalian #SaveGojek"
AhisPrastio,#SaveGojek Dukung Ojek Online Berkibar di Twitter : Tanda pagar #SaveGojek pun menjadi trending to di Twitter .
ilhamrenyut,#beta #SaveGojek Dukung Ojek Online Berkibar di Twitter  #Movin
GebyarNusantara,"salute kpd pak @jokowi
@kapan__lagi #SaveGojek the government need to adjust the laws & knowledge 4 serving people
#gojek #GoRakyat #gaptek"
ardiintheday,Jangan jadikan @gojekindonesia sebagai korban pengalihan aib negara #SaveGojek #gorakyat
IrwanYimk,#SaveGojek kasihan kalau Gojek di hilang kan
DapeReborn,Pak @jokowi terimakasih dari saya pengguna Gojek #GoRakyat #Savegojek
fitrianas19,"mobil omprengan plat hitam gk pernah d tertibkan ..ojek koq dsuruh ganti plat kuning #indonesiaku
#savegojek #ojek #revolusi_transportasi"
BantuBelajar,Simak #SaveGojek Dukung Ojek Online Berkibar di Twitter : Tanda pagar #SaveGojek pun menjadi trending to di ...
bagusadisatya,"Alasan Pemerintah akan melarang transportasi berbasis online , mungkin biar kita bahagia . Mulia sekali ya , Pemerintah . #SaveGojek"
semiaji_w,* #SaveGojek #JonanOut * #SaveGojek Dukung Ojek Online Berkibar di Twitter &nbsp ;  lewat @tempodotco
AningBmars,@listianawati69 ciee saiki dadi tukang ojek online yoo ! #SaveGojek #SaveLisna
yuddi_rahman,ayo blow up lg kepahlawanan @jokowi #negeridagelan RT @tempodotco : #SaveGojek Dukung Ojek Online Berkibar di Twitter
GitaMyagta,smga gk d hpusn @go_jek ksihn rkyt nnti bsa bxk yg nganggur #SaveGojek
bagusadisatya,"...Ini kenapa Gojek (pernyataannya langsung nyebutin merk transportasi berbasis online ) dilarang ? Online , justru memudahkan ."" #SaveGojek"
nugieaputra2,Saya sering hunting bis terbantu dengan @gojekindonesia tetapi sejak dilarang saya sering ketinggalan momen foto bis -_- #SaveGojek
habib_hamid,Go .... go ....go .....ale ....ale ....ale .... #SaveGojek
bagusadisatya,"Pemerintah pasti punya alasan khusus . Setuju sama pernyataan , ""Bertahun -tahun Ojek Pangkalan beroperasi , nggak ada larangan ... #SaveGojek"
bagusadisatya,"Oo .. jadi Pemerintah akan melarang transportasi berbasis online ? Kenapa ? Online , memudahkan . Kok dilarang ? #SaveGojek"
DAUN_ALAS,"@akimalam_tvone sebenarnya soal tarik ulur kebijakan menhub ini terkait persaingan bisnis antar moda transportasi
#SaveGojek"
insanmedika_id,Penyedia jasa home care untuk diseluruh indonesia . Hubungi 02744546041 /www .insanmedika .co .id @insan_medika @rumahsakitjogja #SaveGojek .
thesvaastika,"Ak ndk pernah naek ojek , tp ngelarang gojek ni lumayan bodoh tujuh turunan . #SaveGojek"
tempodotco,#SaveGojek Dukung Ojek Online Berkibar di Twitter <c2><a0>
korantempo,#SaveGojek Dukung Ojek Online Berkibar di Twitter <c2><a0>
EmilIgun,""" Grab "" , Gojek , and other online taxi is allowed again by the government in Indonesia  #Savegojek"
malayjoelbradll,"Lihat dr Fungsiny .. Bukan Dr Fisikny .. Aturan Dibuat untuk mempermudah Bukan Mempersulit
#Savegojek"
xJULIANx666,Stlh #pengalihanisu artis pe *ek nggk mempan skrng pake isu pelrngn transpotasi online #democrashit #SaveGojek #democrazy
